	[Abort Jobs]
	OID	CID	Abort	Delay
[1]	23	2	6	5
[2]	22	1	7	6
[3]	24	1	7	6
[4]	15	1	14	7
[5]	16	2	13	6
[6]	18	2	15	4
[7]	17	1	15	5
[8]	19	1	15	3
[9]	20	2	15	2
[10]	39	0	16	0
[11]	40	0	16	0
[12]	41	0	16	0
[13]	42	0	16	0
[14]	33	1	65	49
[15]	35	1	65	49
[16]	37	1	65	49
	[Jobs Done]
	OID	CID	Departure	Delay
[1]	20	1	7	0
[2]	21	2	6	0
[3]	13	1	12	0
[4]	14	2	12	0
[5]	31	1	65	0
[6]	32	2	18	0
[7]	34	2	19	2
[8]	36	2	20	3
[9]	38	2	21	4
[10]	2015	1	2379	0
[11]	2017	2	65534	0
[Average Delay]	7.41 ms
[Success Rate]	40.74 %
